Y               D               1               2               Y1              Y0              U1              U0              UC              V             
1.966732        1               1.0            -0.225034        1.966732        1.463253       -0.033268       -0.036747       -0.407630       -0.411109      
1.415276        0               1.0            -0.653786        2.200572        1.415276        0.200572       -0.084724        2.072513        1.787218      
1.490499        0               1.0             0.016576        2.151433        1.490499        0.151433       -0.009501        1.580241        1.419307      
1.992897        1               1.0            -0.590194        1.992897        1.525191       -0.007103        0.025191       -0.084920       -0.052626      
2.011766        1               1.0            -1.093035        2.011766        1.778110        0.011766        0.278110       -0.223324        0.043020      
1.442045        0               1.0            -0.196745        2.037601        1.442045        0.037601       -0.057955        0.573854        0.478298      
1.526342        0               1.0             0.049373        2.064787        1.526342        0.064787        0.026342        0.541561        0.503115      
1.932966        1               1.0            -0.499604        1.932966        1.611354       -0.067034        0.111354       -0.678848       -0.500460      
1.650415        0               1.0            -0.487566        2.082192        1.650415        0.082192        0.150415        0.876142        0.944365      
1.751870        1               1.0            -0.201994        1.751870        1.418727       -0.248130       -0.081273       -2.800833       -2.633976      
2.021020        1               1.0            -0.969935        2.021020        1.550749        0.021020        0.050749        0.079787        0.109516      
1.436812        0               1.0             1.027155        1.970472        1.436812       -0.029528       -0.063188       -0.300387       -0.334046      
1.907193        1               1.0            -0.666360        1.907193        1.480466       -0.092807       -0.019534       -1.150033       -1.076760      
1.975865        1               1.0            -0.144091        1.975865        1.432111       -0.024135       -0.067889       -0.243567       -0.287321      
1.438575        0               1.0             1.009354        1.933078        1.438575       -0.066922       -0.061425       -0.425665       -0.420167      
1.825967        1               1.0            -3.040531        1.825967        1.567552       -0.174033        0.067552       -2.325700       -2.084115      
1.362362        0               1.0            -0.014938        1.987148        1.362362       -0.012852       -0.137638        0.029288       -0.095498      
1.851880        1               1.0            -0.120197        1.851880        1.402346       -0.148120       -0.097654       -1.403522       -1.353057      
1.537753        0               1.0            -0.061342        2.245960        1.537753        0.245960        0.037753        2.692574        2.484368      
1.479443        0               1.0             0.998446        1.921635        1.479443       -0.078365       -0.020557       -0.546923       -0.489116      
2.106717        1               1.0            -1.844539        2.106717        1.649804        0.106717        0.149804        0.942297        0.985384      
1.665306        0               1.0             0.102317        2.028449        1.665306        0.028449        0.165306        0.411441        0.548299      
1.624772        0               1.0            -0.832021        2.082607        1.624772        0.082607        0.124772        0.808903        0.851068      
1.869855        1               1.0            -0.916647        1.869855        1.530455       -0.130145        0.030455       -1.593445       -1.432845      
1.434258        0               1.0             0.796021        1.987413        1.434258       -0.012587       -0.065742       -0.243095       -0.296250      
1.435958        0               1.0             1.173243        2.126613        1.435958        0.126613       -0.064042        1.472109        1.281454      
1.441643        0               1.0             0.049035        2.039777        1.441643        0.039777       -0.058357        0.482870        0.384735      
1.534482        0               1.0             0.372510        2.093559        1.534482        0.093559        0.034482        1.100507        1.041431      
1.558033        0               1.0            -0.309679        2.011141        1.558033        0.011141        0.058033        0.283213        0.330106      
1.958584        1               1.0            -1.317552        1.958584        1.581469       -0.041416        0.081469       -0.723056       -0.600171      
1.888084        1               1.0            -1.712750        1.888084        1.447822       -0.111916       -0.052178       -1.225424       -1.165685      
2.060707        1               1.0            -0.831179        2.060707        1.311872        0.060707       -0.188128        0.771094        0.522259      
1.475392        0               1.0             0.019597        2.226774        1.475392        0.226774       -0.024608        2.573233        2.321851      
1.492714        0               1.0             0.839334        2.099010        1.492714        0.099010       -0.007286        1.310401        1.204106      
1.981960        1               1.0            -0.383903        1.981960        1.593875       -0.018040        0.093875       -0.208196       -0.096282      
1.473588        0               1.0            -0.065605        2.145160        1.473588        0.145160       -0.026412        1.676229        1.504658      
2.034155        1               1.0            -1.213109        2.034155        1.456478        0.034155       -0.043522        0.446845        0.369168      
1.530951        0               1.0             0.973360        2.000270        1.530951        0.000270        0.030951       -0.250890       -0.220209      
1.463314        0               1.0             0.638844        2.001703        1.463314        0.001703       -0.036686       -0.112964       -0.151353      
1.972704        1               1.0            -0.389245        1.972704        1.568309       -0.027296        0.068309       -0.410521       -0.314916      
1.565520        0               1.0             1.320546        2.041589        1.565520        0.041589        0.065520        0.410092        0.434023      
1.987051        1               1.0            -0.508458        1.987051        1.613125       -0.012949        0.113125        0.009494        0.135567      
2.120951        1               1.0            -2.281748        2.120951        1.530698        0.120951        0.030698        1.304258        1.214004      
1.924136        1               1.0            -0.287249        1.924136        1.430261       -0.075864       -0.069739       -0.652384       -0.646259      
1.420061        0               1.0            -0.295063        2.054000        1.420061        0.054000       -0.079939        0.574156        0.440217      
1.570481        0               1.0             2.709173        1.978948        1.570481       -0.021052        0.070481       -0.205060       -0.113526      
2.081437        1               1.0            -1.383661        2.081437        1.564351        0.081437        0.064351        0.733643        0.716557      
1.337237        0               1.0             0.094411        1.958505        1.337237       -0.041495       -0.162763       -0.208865       -0.330133      
2.116734        1               1.0            -1.611552        2.116734        1.526260        0.116734        0.026260        1.164277        1.073802      
2.147944        1               1.0            -1.804913        2.147944        1.359702        0.147944       -0.140298        1.475227        1.186985      
1.448047        0               1.0             1.716913        2.041055        1.448047        0.041055       -0.051953        0.591918        0.498910      
2.080766        1               1.0            -1.193628        2.080766        1.424668        0.080766       -0.075332        0.896659        0.740561      
1.511506        0               1.0             1.003220        1.997440        1.511506       -0.002560        0.011506       -0.178277       -0.164211      
1.507409        0               1.0            -0.798553        2.114067        1.507409        0.114067        0.007409        1.383361        1.276703      
1.833495        1               1.0             0.480616        1.833495        1.574692       -0.166505        0.074692       -2.098428       -1.857230      
1.603411        0               1.0            -0.360613        2.156238        1.603411        0.156238        0.103411        1.407834        1.355007      
1.687608        1               1.0            -0.302046        1.687608        1.388991       -0.312392       -0.111009       -3.176522       -2.975140      
1.568949        0               1.0             0.106218        2.064682        1.568949        0.064682        0.068949        0.642644        0.646911      
1.956959        1               1.0            -1.381905        1.956959        1.736069       -0.043041        0.236069       -0.768123       -0.489013      
1.798031        1               1.0             1.049874        1.798031        1.502445       -0.201969        0.002445       -2.536568       -2.332153      
1.665972        0               1.0            -1.111444        2.192311        1.665972        0.192311        0.165972        1.983124        1.956786      
1.602741        0               1.0             0.330501        1.905269        1.602741       -0.094731        0.102741       -0.911401       -0.713929      
1.608706        0               1.0             0.146139        2.084885        1.608706        0.084885        0.108706        0.898075        0.921896      
1.988634        1               1.0            -1.331169        1.988634        1.546488       -0.011366        0.046488       -0.104093       -0.046240      
1.529622        0               1.0            -0.295877        2.061493        1.529622        0.061493        0.029622        0.721130        0.689259      
1.664074        0               1.0             0.965355        2.117959        1.664074        0.117959        0.164074        0.976665        1.022781      
1.547395        0               1.0             2.225577        1.936076        1.547395       -0.063924        0.047395       -0.622127       -0.510808      
1.913118        1               1.0            -0.255812        1.913118        1.489057       -0.086882       -0.010943       -1.152988       -1.077049      
1.910074        1               1.0            -0.065270        1.910074        1.671402       -0.089926        0.171402       -1.044697       -0.783369      
1.538812        0               1.0            -0.812716        2.144509        1.538812        0.144509        0.038812        1.454045        1.348348      
1.546213        0               1.0             1.223877        1.887260        1.546213       -0.112740        0.046213       -1.336413       -1.177460      
1.314189        0               1.0            -0.241264        2.061689        1.314189        0.061689       -0.185811        1.031375        0.783875      
1.318925        0               1.0             0.102380        1.967532        1.318925       -0.032468       -0.181075       -0.302523       -0.451130      
1.952594        1               1.0            -0.764039        1.952594        1.325407       -0.047406       -0.174593       -0.174260       -0.301447      
1.568070        0               1.0            -0.455079        2.167831        1.568070        0.167831        0.068070        1.729548        1.629787      
1.462580        0               1.0             1.662918        2.106100        1.462580        0.106100       -0.037420        1.284506        1.140986      
1.480965        0               1.0             1.287119        1.898594        1.480965       -0.101406       -0.019035       -1.193100       -1.110730      
1.534944        0               1.0             0.986199        2.001125        1.534944        0.001125        0.034944        0.206565        0.240384      
1.452980        0               1.0            -0.450908        2.090660        1.452980        0.090660       -0.047020        1.251713        1.114034      
2.027332        1               1.0            -0.664263        2.027332        1.479546        0.027332       -0.020454        0.397939        0.350153      
2.008500        1               1.0            -0.976163        2.008500        1.450356        0.008500       -0.049644        0.001984       -0.056160      
1.663635        0               1.0             1.124789        1.958256        1.663635       -0.041744        0.163635       -0.442128       -0.236749      
1.632425        0               1.0             0.311667        2.017153        1.632425        0.017153        0.132425       -0.085074        0.030199      
1.853862        1               1.0             0.205879        1.853862        1.320508       -0.146138       -0.179492       -1.280127       -1.313480      
1.473211        0               1.0            -0.556877        2.132006        1.473211        0.132006       -0.026789        1.522419        1.363624      
1.977501        1               1.0            -1.634496        1.977501        1.400251       -0.022499       -0.099749       -0.007109       -0.084360      
1.915803        1               1.0            -0.066015        1.915803        1.266279       -0.084197       -0.233721       -0.422890       -0.572414      
1.711370        0               1.0            -0.233148        1.980690        1.711370       -0.019310        0.211370       -0.280638       -0.049959      
1.487034        0               1.0            -0.916695        2.185013        1.487034        0.185013       -0.012966        1.955977        1.757999      
1.938792        1               1.0            -1.279561        1.938792        1.426260       -0.061208       -0.073740       -0.534001       -0.546533      
1.923557        1               1.0            -0.629589        1.923557        1.452592       -0.076443       -0.047408       -0.901470       -0.872436      
1.888335        1               1.0            -0.006612        1.888335        1.542065       -0.111665        0.042065       -0.962189       -0.808460      
1.596158        0               1.0             0.798982        1.999900        1.596158       -0.000100        0.096158       -0.230293       -0.134035      
1.427685        0               1.0             0.744023        2.148092        1.427685        0.148092       -0.072315        1.626435        1.406028      
1.691894        0               1.0             0.652079        2.090414        1.691894        0.090414        0.191894        0.978940        1.080420      
1.767953        1               1.0            -0.744728        1.767953        1.452397       -0.232047       -0.047603       -2.577537       -2.393093      
2.091473        1               1.0            -1.400913        2.091473        1.553063        0.091473        0.053063        0.778487        0.740077      
1.856439        1               1.0             0.493504        1.856439        1.545374       -0.143561        0.045374       -1.600042       -1.411106      
1.390256        0               1.0             0.504572        2.100840        1.390256        0.100840       -0.109744        1.060194        0.849609      
1.459070        0               1.0             2.044839        2.031343        1.459070        0.031343       -0.040930        0.342543        0.270270      
1.999935        1               1.0            -1.276096        1.999935        1.667468       -0.000065        0.167468       -0.187195       -0.019662      
1.978725        1               1.0            -0.549830        1.978725        1.617752       -0.021275        0.117752       -0.387004       -0.247976      
1.693194        1               1.0            -0.456860        1.693194        1.518604       -0.306806        0.018604       -3.492096       -3.166686      
2.054206        1               1.0            -0.967665        2.054206        1.530707        0.054206        0.030707        0.639797        0.616298      
1.833592        0               1.0             1.528465        1.967924        1.833592       -0.032076        0.333592       -0.857257       -0.491589      
2.083183        1               1.0            -0.820722        2.083183        1.397365        0.083183       -0.102635        0.826992        0.641174      
1.454844        0               1.0            -0.262793        2.033962        1.454844        0.033962       -0.045156        0.501388        0.422270      
1.609018        0               1.0             0.333618        2.098199        1.609018        0.098199        0.109018        0.983968        0.994788      
1.578089        0               1.0             0.678044        1.936137        1.578089       -0.063863        0.078089       -0.679266       -0.537314      
1.432850        0               1.0             1.540613        1.995924        1.432850       -0.004076       -0.067150        0.022487       -0.040586      
1.495183        0               1.0             0.899930        1.967656        1.495183       -0.032344       -0.004817       -0.373944       -0.346417      
1.892874        1               1.0            -1.876779        1.892874        1.465413       -0.107126       -0.034587       -0.971137       -0.898598      
1.612359        0               1.0             0.949454        1.984744        1.612359       -0.015256        0.112359       -0.511554       -0.383939      
1.732368        0               1.0             0.044262        2.075372        1.732368        0.075372        0.232368        0.437770        0.594766      
2.026282        1               1.0            -0.506605        2.026282        1.562646        0.026282        0.062646        0.197430        0.233794      
1.622884        0               1.0             1.647442        1.995549        1.622884       -0.004451        0.122884       -0.117777        0.009557      
1.422254        0               1.0             0.541818        1.999747        1.422254       -0.000253       -0.077746        0.027542       -0.049950      
1.922826        1               1.0             0.116259        1.922826        1.569133       -0.077174        0.069133       -1.096556       -0.950248      
1.310206        0               1.0             1.194299        2.121594        1.310206        0.121594       -0.189794        1.531484        1.220096      
1.358612        0               1.0             0.117021        2.047306        1.358612        0.047306       -0.141388        0.640881        0.452187      
1.560423        0               1.0             0.052627        2.050460        1.560423        0.050460        0.060423        0.549580        0.559543      
1.497647        0               1.0             2.236608        1.982610        1.497647       -0.017390       -0.002353        0.004765        0.019801      
1.849454        1               1.0             0.080611        1.849454        1.507862       -0.150546        0.007862       -1.678699       -1.520291      
1.453126        0               1.0            -0.718490        2.076491        1.453126        0.076491       -0.046874        1.173852        1.050487      
1.359886        0               1.0             0.566227        2.007709        1.359886        0.007709       -0.140114        0.022150       -0.125674      
