Y               D               1               2               3               Y1              Y0              U1              U0              V             
-2.550929       1               1.0             1.290625        0.882894        -2.550929       -5.628845      -0.803757       -1.732231       -0.168176      
 1.585241       0               1.0            -1.540004       -0.341136         4.682682        1.585241      -0.100407        0.706300        6.884747      
-1.780793       0               1.0             1.238733       -0.394102        -1.466605       -1.780793       0.160851        2.028272        4.338115      
-0.386419       1               1.0             0.650353       -0.031549        -0.386419       -2.311933      -0.116356        0.504477       -0.532208      
-4.614122       1               1.0             0.827113       -0.188940        -4.614122        2.797858      -3.936271        5.912481       -2.587585      
 8.198319       1               1.0            -2.070343        0.561970         8.198319        1.632062       2.191738       -0.141613        1.269498      
-4.108141       1               1.0             1.648303        0.027030        -4.108141       -3.436825      -1.535805        1.063228        1.873284      
 1.472105       1               1.0             0.014670        1.949003         1.472105        0.255584       0.275648        1.999533       -3.577996      
-0.800630       1               1.0             1.075705       -1.847210        -0.800630        1.722039       0.450721        5.256061       -0.012129      
 0.210544       1               1.0            -0.822325       -0.417540         0.210544       -7.134977      -2.916860       -6.803121       -4.939899      
-1.714298       1               1.0             0.572385       -0.651364        -1.714298       -1.663313      -1.624106        1.021557        0.316405      
 4.105055       1               1.0            -1.244252       -0.396723         4.105055       -1.683673       0.004267       -2.063650        0.089839      
-1.334117       1               1.0             0.104116        0.112643        -1.334117       -4.612399      -2.324222       -2.717545       -1.652460      
 1.964772       1               1.0            -0.312901        0.064425         1.964772       -3.294533       0.012609       -2.103228        0.307050      
 4.887859       1               1.0            -0.207739        0.518579         4.887859       -2.765603       3.178306       -1.396879       -1.893293      
-1.596943       1               1.0            -1.512615        1.982187        -1.596943       -2.290922      -6.316846       -3.123655       -4.053091      
 2.375210       1               1.0             0.303263        0.317073         2.375210       -5.297864       1.844538       -3.067029        1.113182      
-0.434807       1               1.0             1.359478        0.513751        -0.434807       -8.161886       1.471210       -4.149110       -3.154164      
 3.373586       0               1.0             0.092544       -0.410206         2.853520        3.373586       1.836720        5.248918        5.821332      
 6.407501       1               1.0            -0.865861       -0.539868         6.407501       -0.765722       3.179659       -0.507317       -2.808875      
-5.193666       1               1.0             1.993611       -0.110375        -5.193666       -0.321077      -1.824704        4.761545        1.336068      
 6.608452       1               1.0            -1.650648       -1.140122         6.608452        6.332562       1.570107        5.266953       -2.056162      
 3.727413       1               1.0            -1.273203       -1.277604         3.727413        4.700238      -0.440166        4.271417        0.627608      
-1.806683       1               1.0             0.027499       -0.457638        -1.806683       -3.975967      -2.973542       -2.210373       -3.240466      
-1.485778       1               1.0             0.557979        1.875845        -1.485778       -5.069849      -1.428819       -2.409283        1.012408      
 1.621772       0               1.0            -1.446378        0.692649         6.481641        1.621772       1.914546        0.900788        3.933200      
 2.349174       1               1.0            -0.131909        0.042784         2.349174       -2.123676       0.814559       -0.627020        1.730754      
 0.723838       1               1.0             0.931459       -0.268693         0.723838       -0.426623       1.642415        2.864043        1.651397      
-1.060765       1               1.0             1.899051        0.739163        -1.060765       -2.490869       2.090045        2.432219       -1.130205      
-4.519462       1               1.0             0.974295       -0.157106        -4.519462       -3.151488      -3.502064        0.211445       -1.343196      
-0.561985       1               1.0             0.399683        0.876569        -0.561985       -5.699261      -0.870217       -3.305756       -2.129916      
-4.562563       0               1.0            -0.328724       -1.428515         3.557230       -4.562563       1.568564       -3.397954        3.989024      
