Y               D               const           X2              X3              Y1              Y0              U1              U0              V             
0.557775        0               1.0            -0.014710        0.023439        0.994512        0.557775        0.002676        0.061452        7.673099e-01  
2.164590        1               1.0             1.941447       -1.375891        2.164590        1.051813        0.087087        0.066451       -5.679794e-01  
0.956087        1               1.0            -0.220668        1.555453        0.956087        0.452973        0.078557        0.008140       -3.078277e-01  
1.289630        1               1.0             0.531899        0.192161        1.289630        0.688027       -0.005574        0.055052       -1.129202e+00  
0.503965        0               1.0            -0.295161        1.663835        0.724652        0.503965       -0.111534        0.077755       -2.478671e-02  
0.921473        0               1.0             2.030613        0.845409        2.030104        0.921473       -0.096886       -0.086180        1.177099e-01  
0.913988        1               1.0            -0.189934       -0.830659        0.913988        0.407250        0.019401       -0.045266       -3.715615e-02  
0.680322        0               1.0             0.590819        1.731056        1.240833        0.680322       -0.087072        0.032617        7.197590e-01  
0.496692        0               1.0             0.790466        1.133287        1.488647        0.496692        0.049938       -0.200924        7.498256e-01  
0.386585        1               1.0            -1.378429        0.020067        0.386585        0.171225        0.151613        0.015832       -1.119519e+00  
1.012487        1               1.0            -0.089817       -0.279000        1.012487        0.424087        0.062335       -0.053459        4.927039e-02  
0.528291        0               1.0             0.212042        2.217055        1.127162        0.528291        0.009479       -0.024719        3.913817e-01  
1.128005        1               1.0             0.140421       -0.949804        1.128005        0.537945        0.050072        0.002839        6.585553e-01  
1.107032        1               1.0            -0.152488        0.997728        1.107032        0.389639        0.191663       -0.072238       -6.080021e-01  
0.523118        0               1.0            -0.008147        0.812770        0.934567        0.523118       -0.060911        0.025155        7.325108e-01  
1.794408        1               1.0             0.962076       -1.210027        1.794408        0.749437        0.260456        0.008918       -1.209136e+00  
0.030934        0               1.0            -2.212943        0.613103       -0.226082        0.030934        0.002101        0.084170        4.839826e-01  
0.431573        0               1.0            -0.243372       -0.256826        0.930736        0.431573        0.065807       -0.007584        9.065692e-01  
1.548950        1               1.0             0.882084       -0.619958        1.548950        0.675863        0.059393       -0.044658       -1.719871e+00  
1.352051        1               1.0             0.363549        1.137413        1.352051        0.700668        0.150281        0.109781       -4.213981e-01  
1.053842        1               1.0             0.314807       -0.773532        1.053842        0.667324       -0.120876        0.088622       -1.098664e-01  
0.474994        1               1.0            -0.693967       -1.144303        0.474994        0.372958       -0.139855        0.046450       -7.907586e-01  
0.894974        1               1.0            -0.293723        1.021560        0.894974        0.434913        0.057990        0.008344       -5.587941e-01  
0.937105        1               1.0            -0.262058       -0.241388        0.937105        0.358026        0.082548       -0.076459       -8.110035e-01  
0.757980        1               1.0            -0.216773        0.101277        0.757980        0.398072       -0.121712       -0.047735       -1.987650e+00  
1.413390        1               1.0             0.705281       -1.939360        1.413390        0.738115        0.021959        0.061794       -4.155906e-01  
0.355205        0               1.0            -0.296565        0.101588        0.845219        0.355205        0.009812       -0.070653        1.036881e+00  
1.297216        1               1.0             0.734825       -1.651857        1.297216        0.614985       -0.110612       -0.068721       -3.134689e-01  
0.244659        0               1.0            -0.722268        1.471200        0.428114        0.244659       -0.171028       -0.074775        1.222972e+00  
-0.219966        0               1.0            -2.430214        1.650545       -0.317139       -0.219966        0.031629       -0.112413       -8.661531e-02  
0.558818        1               1.0            -0.672829       -0.604425        0.558818        0.558771       -0.067762        0.226979       -7.515929e-01  
0.371939        0               1.0            -0.022543        2.192356        0.987721        0.371939        0.000233       -0.122426       -3.519863e-01  
0.139246        0               1.0            -1.177127        0.117293        0.235509        0.139246       -0.111185       -0.066472        1.289130e+00  
0.351990        1               1.0            -1.059338       -0.062168        0.351990        0.246974       -0.060078        0.011808        4.898815e-02  
1.949862        1               1.0             1.584742       -0.717290        1.949862        0.887655        0.070330       -0.008531       -3.387332e-02  
1.514313        1               1.0             0.798351        0.154075        1.514313        0.712571        0.071229        0.012983       -1.090934e+00  
1.429453        1               1.0             0.837445       -0.988619        1.429453        0.710165       -0.035329        0.000803        2.033086e-01  
0.694541        1               1.0            -0.603813       -0.150279        0.694541        0.203867        0.029658       -0.145179        1.097134e-01  
0.985831        1               1.0             0.342358       -0.504495        0.985831        0.563358       -0.204177       -0.022232       -1.015742e-01  
1.164251        1               1.0             0.279959        1.136445        1.164251        0.652594        0.008874        0.082604       -6.753538e-01  
1.100378        1               1.0             0.054746        0.443532        1.100378        0.416314        0.069994       -0.097372       -1.609669e-01  
0.243107        1               1.0            -1.561519        0.627662        0.243107       -0.092511        0.109750       -0.202132       -3.995505e-02  
0.524422        1               1.0            -0.708432        1.480942        0.524422        0.431115       -0.082398        0.108223       -1.031256e+00  
1.064943        1               1.0             0.066980       -0.759908        1.064943        0.368429        0.027770       -0.148316       -5.763465e-01  
0.151640        0               1.0            -1.293182       -0.789510        0.085293        0.151640       -0.196991       -0.025065        1.361730e+00  
0.581449        0               1.0             0.248968        1.075904        1.106255        0.581449       -0.031922        0.019206        6.146522e-02  
0.266879        0               1.0            -1.201856        0.988225        0.246562        0.266879       -0.086408        0.067343        5.148338e-01  
0.223228        0               1.0            -1.301261       -0.634835        0.160569        0.223228       -0.117231        0.048543        7.942795e-01  
0.595693        0               1.0             0.170641        1.504522        1.032657        0.595693       -0.062048        0.053033        2.163412e-01  
0.747199        0               1.0             0.992112       -0.019663        1.680868        0.747199        0.130246       -0.000828        5.964775e-01  
1.000120        1               1.0             0.002151        1.695989        1.000120        0.559583       -0.001074        0.059046       -1.113420e+00  
1.253249        1               1.0             0.713082        2.085475        1.253249        0.674234       -0.142512       -0.004037       -9.011299e-01  
0.603540        0               1.0            -0.084807        0.409088        1.015795        0.603540        0.062863        0.124742        6.306692e-01  
0.554077        0               1.0             0.075219        0.206204        0.989584        0.554077       -0.052163        0.035273        6.357614e-01  
1.086485        1               1.0             0.084804        1.416700        1.086485        0.561589        0.039418        0.040388       -1.552128e+00  
0.467731        1               1.0            -0.924129       -0.317442        0.467731        0.006784       -0.019377       -0.262184       -4.792894e-01  
1.468923        1               1.0             1.072278       -2.178540        1.468923        0.721469       -0.126191       -0.046600       -1.266517e+00  
0.537754        0               1.0            -0.171557       -0.549719        0.922439        0.537754        0.017653        0.080643        9.412293e-01  
0.724292        0               1.0             0.607850        1.071537        1.522852        0.724292        0.185495        0.072329        7.655316e-01  
1.247679        1               1.0             0.605739        1.739209        1.247679        0.626299       -0.088507       -0.025136       -7.247887e-01  
0.565119        1               1.0            -0.935374       -0.135451        0.565119        0.607708        0.084252        0.341551       -5.141822e-01  
0.534981        1               1.0            -1.052379        0.952182        0.534981        0.283286        0.119051        0.046381       -2.972133e+00  
1.543433        1               1.0             1.031471        0.117823        1.543433        0.645662       -0.029034       -0.112205       -2.130697e+00  
-0.100101        1               1.0            -1.752689       -1.926391       -0.100101        0.148813       -0.127358        0.086985        2.720413e-01  
1.076635        0               1.0             1.401571       -1.350633        1.752582        1.076635       -0.025290        0.226242        1.935710e+00  
1.315057        1               1.0             0.178569       -1.695591        1.315057        0.604931        0.215952        0.060289        3.599828e-01  
0.364044        1               1.0            -1.286298       -0.112256        0.364044        0.121419        0.077939       -0.057006        1.333607e-01  
1.163363        1               1.0             0.071992       -0.409959        1.163363        0.531894        0.123407        0.013896       -6.727125e-01  
1.939169        1               1.0             1.743243        0.411098        1.939169        1.035427       -0.028330        0.099616       -7.595074e-01  
0.065725        0               1.0            -1.419321       -0.198684        0.216268        0.065725        0.003991       -0.079445        9.562931e-01  
1.017776        1               1.0             0.014202       -1.129853        1.017776        0.455533        0.009895       -0.048017       -4.870816e-01  
0.665189        0               1.0             0.526569        0.396694        1.312788        0.665189        0.020542        0.033547        1.702494e+00  
1.525232        1               1.0             0.617618       -1.994962        1.525232        0.703849        0.182454        0.049444       -2.854907e-01  
0.704766        1               1.0            -0.260619       -0.292246        0.704766        0.453012       -0.150590        0.018167        2.982202e-01  
1.418252        1               1.0             0.476778       -0.043363        1.418252        0.669038        0.153640        0.049844       -5.775613e-01  
0.733506        0               1.0             1.160492        1.167817        1.564927        0.733506       -0.079146       -0.056617        6.326115e-01  
1.629124        1               1.0             1.325569       -0.624776        1.629124        0.741590       -0.106567       -0.089803        2.531935e-01  
0.976115        1               1.0             0.148515       -0.534985        0.976115        0.377736       -0.106311       -0.159393       -4.170656e-01  
0.654359        0               1.0             0.641714        0.633699        1.320429        0.654359       -0.035722       -0.006069        1.753696e-01  
0.512289        1               1.0            -0.805266       -0.995342        0.512289        0.140414       -0.040788       -0.158269        2.973264e-01  
-0.000965        0               1.0            -1.796743        0.377985       -0.122252       -0.000965       -0.125060       -0.051779        1.070572e+00  
1.569743        1               1.0             0.888003       -0.651703        1.569743        0.722762        0.076901        0.000762        4.270392e-01  
0.895747        1               1.0             0.160235        0.373738        0.895747        0.550241       -0.193184        0.010182       -6.412025e-01  
0.668448        0               1.0             1.003254       -0.250175        1.567193        0.668448        0.010387       -0.082366        1.064295e+00  
0.572745        0               1.0             0.860851        0.287166        1.595216        0.572745        0.117444       -0.142467        1.216657e+00  
0.997842        0               1.0             1.843642       -0.427716        1.960828        0.997842       -0.062393        0.036932        7.915979e-01  
0.816431        1               1.0            -0.442688        0.547351        0.816431        0.514219        0.062123        0.124891       -6.830275e-01  
0.495708        1               1.0            -0.914568        0.946551        0.495708        0.370900        0.003293        0.099542       -2.967257e-01  
1.157207        1               1.0             0.390783       -1.962461        1.157207        0.715314       -0.059678        0.117618        2.082799e-01  
0.857336        0               1.0             1.335151        0.262195        1.564310        0.857336       -0.176699        0.023548        1.027726e+00  
