Y               D               1               2               Y1              Y0              U1              U0              UC              V             
1.867474        0               1.0            -0.225034        2.410380        1.867474        0.410380        0.367474        0.570261        0.527356      
2.347235        0               1.0            -0.653786        0.210466        2.347235       -1.789534        0.847235       -0.963641        1.673129      
1.595008        0               1.0             0.016576        0.579623        1.595008       -1.420377        0.095008       -0.743123        0.772262      
2.052811        1               1.0            -0.590194        2.052811        1.248089        0.052811       -0.251911        0.170604       -0.134117      
1.956244        1               1.0            -1.093035        1.956244       -1.281097       -0.043756       -2.781097        3.269415        0.532074      
1.522658        1               1.0            -0.196745        1.522658        2.079548       -0.477342        0.579548       -1.748714       -0.691825      
1.236583        0               1.0             0.049373        1.495416        1.236583       -0.504584       -0.263417        0.819965        1.061132      
2.502174        1               1.0            -0.499604        2.502174        0.386459        0.502174       -1.113541        0.376704       -1.239011      
1.056744        1               1.0            -0.487566        1.056744       -0.004154       -0.943256       -1.504154       -0.241456       -0.802353      
2.312730        0               1.0            -0.201994        4.632734        2.312730        2.632734        0.812730        2.719212        0.899207      
0.992511        0               1.0            -0.969935        1.889486        0.992511       -0.110514       -0.507489        1.118294        0.721319      
2.131881        0               1.0             1.027155        2.333699        2.131881        0.333699        0.631881       -0.046606        0.251576      
1.695340        0               1.0            -0.666360        3.075407        1.695340        1.075407        0.195340        1.859291        0.979224      
2.178894        0               1.0            -0.144091        2.286898        2.178894        0.286898        0.678894       -0.086067        0.305928      
2.422650        1               1.0             1.009354        2.422650        2.114247        0.422650        0.614247       -1.986310       -1.794713      
0.824481        0               1.0            -3.040531        4.080946        0.824481        2.080946       -0.675519        5.048596        2.292131      
2.095831        1               1.0            -0.014938        2.095831        2.876383        0.095831        1.376383       -1.521268       -0.240716      
3.354444        1               1.0            -0.120197        3.354444        2.476544        1.354444        0.976544       -0.624510       -1.002410      
-0.484366        1               1.0            -0.061342       -0.484366        1.122470       -2.484366       -0.377530       -2.109737       -0.002902      
2.492051        1               1.0             0.998446        2.492051        1.705572        0.492051        0.205572       -1.835380       -2.121859      
1.013719        1               1.0            -1.844539        1.013719        0.001964       -0.986281       -1.498036        1.160006        0.648251      
1.454235        1               1.0             0.102317        1.454235       -0.153065       -0.545765       -1.653065       -0.724672       -1.831971      
1.149094        1               1.0            -0.832021        1.149094        0.252279       -0.850906       -1.247721        0.278791       -0.118024      
1.195448        0               1.0            -0.916647        3.431696        1.195448        1.431696       -0.304552        2.568075        0.831827      
2.157417        0               1.0             0.796021        2.294608        2.157417        0.294608        0.657417        0.824402        1.187211      
2.140424        0               1.0             1.173243        0.718572        2.140424       -1.281428        0.640424       -1.941397       -0.019545      
2.083574        0               1.0             0.049035        1.615100        2.083574       -0.384900        0.583574       -0.849347        0.119128      
0.959506        1               1.0             0.372510        0.959506        1.155175       -1.040494       -0.344825       -1.373599       -0.677930      
1.672007        1               1.0            -0.309679        1.672007        0.919666       -0.327993       -0.580334       -1.275000       -1.527342      
0.685309        0               1.0            -1.317552        2.598405        0.685309        0.598405       -0.814691        2.689942        1.276846      
3.165342        1               1.0            -1.712750        3.165342        2.021777        1.165342        0.521777        0.892334        0.248769      
3.381282        0               1.0            -0.831179        1.476859        3.381282       -0.523141        1.881282       -1.766944        0.637480      
-0.321546        1               1.0             0.019597       -0.321546        1.746082       -2.321546        0.246082       -2.789822       -0.222194      
0.797876        1               1.0             0.839334        0.797876        1.572857       -1.202124        0.072857       -2.708368       -1.433386      
2.097116        1               1.0            -0.383903        2.097116        0.561254        0.097116       -0.938746        0.432897       -0.602965      
0.495716        1               1.0            -0.065605        0.495716        1.764115       -1.504284        0.264115       -2.039934       -0.271535      
1.631067        1               1.0            -1.213109        1.631067        1.935221       -0.368933        0.435221       -0.974287       -0.170133      
1.190487        0               1.0             0.973360        2.218045        1.190487        0.218045       -0.309513        2.092414        1.564857      
1.866858        0               1.0             0.638844        2.149717        1.866858        0.149717        0.366858        0.965967        1.183108      
0.816909        0               1.0            -0.389245        2.314535        0.816909        0.314535       -0.683091        1.273128        0.275502      
0.844799        0               1.0             1.320546        1.566113        0.844799       -0.433887       -0.655201        0.122977       -0.098337      
1.867019        1               1.0            -0.508458        1.867019        0.368751       -0.132981       -1.131249       -0.871219       -1.869487      
0.785922        1               1.0            -2.281748        0.785922        1.193025       -1.214078       -0.306975       -0.854586        0.052517      
2.647424        1               1.0            -0.287249        2.647424        2.197386        0.647424        0.697386       -0.891502       -0.841540      
2.299392        0               1.0            -0.295063        1.558762        2.299392       -0.441238        0.799392       -0.502695        0.737935      
0.795185        0               1.0             2.709173        2.114488        0.795185        0.114488       -0.704815        0.123839       -0.695464      
0.856494        0               1.0            -1.383661        1.282414        0.856494       -0.717586       -0.643506        0.669100        0.743180      
2.330997        1               1.0             0.094411        2.330997        3.127632        0.330997        1.627632       -1.920844       -0.624209      
0.925176        1               1.0            -1.611552        0.925176        1.237404       -1.074824       -0.262596       -0.074497        0.737732      
2.902978        0               1.0            -1.804913        0.810032        2.902978       -1.189968        1.402978       -0.437256        2.155690      
2.019525        0               1.0             1.716913        1.501908        2.019525       -0.498092        0.519525       -1.609289       -0.591672      
